maybe you've thought about them , too .	也許你也想過他們 。
this is not a real incision .	這不是真正的關聯 。
because the data just doesn't lie .	因為數據並不謊言 。
that's what broke my heart .	這就是我心碎的原因 。
but there's an important caveat .	但有一個很重要的洞穴 。
so to do that , it's easy .	所以要做到這一點 , 很容易 。
you're very happy about this part .	你對這個部分非常高興 。
it didn't exactly work out that way .	這並不是這樣運作的 。
or how about 'ball' ? "	或 「 芭蕾會怎樣 ? 」
you know , i bet you are too .	我打賭你們也是 。
it's a difficult place to work in .	這是一個很難工作的地方 。
who is going to take care of my child ?	誰會照顧我的孩子 ?
why do you feel sorry for them ?	為什麼你覺得很抱歉 ?
most girls end up pregnant .	大部分的女孩都懷孕了 。
your parents were peaceful people .	你的父母和平 。
let's talk about a few of them .	我們來談談其中一些 。
that's power if i ever saw it .	如果我看過 , 這是權力 。
i witnessed killing . . .	我目睹殺戮......
but it hasn't always been easy .	但它並不總是容易 。
that's the operative word .	這就是操作詞 。
now , the recession .	現在 , 衰退 。
the mechanism isn't clear .	機制並不清楚 。
a terrorist attack .	恐怖分子攻擊 。
they hoped that other people would do so .	他們希望其他人會這樣做 。
it's on this side of the brain .	它在大腦的這一邊 。
" did anybody hear that ? "	「 有人聽過嗎 ? 」
and within it , the amazement .	在裡面 , 驚嘆 。
on some days , i could do no work .	有一天 , 我做不到 。
brownway: good morning .	布朗威:早安 。
it's not too difficult to do that .	做這件事並不難 。
how many followers have i gained ?	我得到了多少追隨者 ?
today's its debut .	今天的預算 。
and we have taken pictures like this .	我們拍了像這樣的照片 。
tw: show me the data .	彼得:給我看數據 。
thank you very much for your attention .	謝謝大家
and we're going to do it .	我們要這麼做 。
well , wait a minute .	等一下 。
he doesn't need adam .	他不需要亞當 。
so , how did it just do that ?	所以 , 它是怎麼辦到的 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這是鴨子 。
you see how this works , right ?	你可以看到這是怎麼運作的 , 對吧 ?
and be clearheaded about it .	很清楚的說法 。
show me the evidence . "	給我看證據 。 」
we thought of people as a liability .	我們認為人們是可靠的 。
he called them " partons . "	他稱之為 「 零件 」 。
we actually have to do something about it .	我們必須做點什麼 。
and the other way is to share stories .	另一種方式是分享故事 。
so here's the quiz .	所以 , 這裡是raz 。
that is how our women dress .	這就是我們的婦女穿著的方式 。
i've been that ahole .	我一直都是那樣的人 。
we should retain those people .	我們應該保留這些人 。
and this is where the story begins .	這就是故事開始的地方 。
and so this is what i tell them .	這就是我告訴他們的 。
it's just the way it is .	它只是它的方式 。
it did have a ram pack .	它確實有種族包裝 。
ninetyseven percent .	90% 。
hk: yay .	哈克:耶 。
and yeah , we're there .	沒錯 , 我們就在那裡 。
now let's look to the future .	現在讓我們看看未來 。
and they masturbated .	牠們配對了 。
that's in the united states .	在美國 。
