maybe you've thought about them , too .	也許你也想過他們 。
this is not a real incision .	這不是真正的關聯 。
because the data just doesn't lie .	因為資料只是不說謊 。
that's what broke my heart .	這就是我心碎的 。
but there's an important caveat .	但有一個很重要的洞穴 。
so to do that , it's easy .	所以 , 要做到這一點 , 很容易 。
you're very happy about this part .	你對這個部分非常開心 。
it didn't exactly work out that way .	這不是這樣運作的 。
or how about 'ball' ? "	或者 「 球 」 ?
you know , i bet you are too .	你知道 , 我敢打賭你們也是 。
it's a difficult place to work in .	這是一個很難工作的地方 。
who is going to take care of my child ?	誰會照顧我的孩子 ?
why do you feel sorry for them ?	為什麼你對他們感到很抱歉 ?
most girls end up pregnant .	大部分的女孩最後懷孕了 。
your parents were peaceful people .	你的父母是和平的人 。
let's talk about a few of them .	我們來談談其中一些 。
that's power if i ever saw it .	如果我看到它 , 這是權力 。
i witnessed killing . . .	我目睹殺戮......
but it hasn't always been easy .	但它並不總是容易 。
that's the operative word .	這就是操作詞 。
now , the recession .	現在 , 衰退 。
the mechanism isn't clear .	機制並不清楚 。
a terrorist attack .	恐怖分子攻擊 。
they hoped that other people would do so .	他們希望其他人會這樣做 。
it's on this side of the brain .	它在大腦的這一邊 。
" did anybody hear that ? "	「 有人聽過嗎 ? 」
and within it , the amazement .	在這個過程中 , 令人驚訝 。
on some days , i could do no work .	有一天 , 我做不到 。
brownway: good morning .	布朗威:早安 。
it's not too difficult to do that .	做這件事並不難 。
how many followers have i gained ?	我得到了多少追隨者 ?
today's its debut .	今天的預算 。
and we have taken pictures like this .	我們拍了像這樣的照片 。
tw: show me the data .	tw:給我看數據 。
thank you very much for your attention .	非常感謝你的注意力 。
and we're going to do it .	我們要這麼做 。
well , wait a minute .	等一下 。
he doesn't need adam .	他不需要亞當 。
so , how did it just do that ?	所以 , 它是怎麼辦到的 ?
there he's starting to walk .	他開始走路 。
and here are the ducks again .	這是鴨子 。
you see how this works , right ?	你可以看到這是怎麼運作的 , 對吧 ?
